,To,Ti_sp,Φo,Φi,Qa,Φa,Etot
2000-02-01 12:00:00+01:00,4.6,20,1256.85,62.84249999999999,0.0,318.402,93.1
2000-02-01 13:00:00+01:00,4.9,20,2383.6611970881863,119.18305985440931,0.0,603.8608365956738,176.5674960806064
2000-02-01 14:00:00+01:00,5.4,20,1843.039614380766,92.15198071903828,0.0,466.9033689764607,136.52145291709377
2000-02-01 15:00:00+01:00,5.9,20,1246.712954597891,62.33564772989454,0.0,315.8339484981324,92.34910774799192
2000-02-01 16:00:00+01:00,5.6,20,865.4417335085421,43.272086675427104,0.0,219.24523915549733,64.10679507470682
2000-02-01 17:00:00+01:00,5.0,20,103.95,5.1975,0.0,26.334,7.7
2000-02-01 18:00:00+01:00,4.5,20,0.0,0.0,0.0,0.0,0.0
2000-02-01 19:00:00+01:00,4.1,20,0.0,0.0,0.0,0.0,0.0
2000-02-01 20:00:00+01:00,3.9,20,0.0,0.0,0.0,0.0,0.0
2000-02-01 21:00:00+01:00,3.3,20,0.0,0.0,0.0,0.0,0.0
2000-02-01 22:00:00+01:00,2.6,20,0.0,0.0,0.0,0.0,0.0
2000-02-01 23:00:00+01:00,2.4,16,0.0,0.0,0.0,0.0,0.0
2000-02-02 00:00:00+01:00,1.8,16,0.0,0.0,0.0,0.0,0.0
2000-02-02 01:00:00+01:00,1.3,16,0.0,0.0,0.0,0.0,0.0
2000-02-02 02:00:00+01:00,1.4,16,0.0,0.0,0.0,0.0,0.0
2000-02-02 03:00:00+01:00,1.3,16,0.0,0.0,0.0,0.0,0.0
2000-02-02 04:00:00+01:00,1.4,16,0.0,0.0,0.0,0.0,0.0
2000-02-02 05:00:00+01:00,1.2,16,0.0,0.0,0.0,0.0,0.0
2000-02-02 06:00:00+01:00,1.3,20,0.0,0.0,0.0,0.0,0.0
2000-02-02 07:00:00+01:00,1.4,20,0.0,0.0,0.0,0.0,0.0
2000-02-02 08:00:00+01:00,1.7,20,75.6,3.7799999999999994,0.0,19.151999999999997,5.6
2000-02-02 09:00:00+01:00,2.3,20,434.70000000000005,21.735,0.0,110.12400000000001,32.2
2000-02-02 10:00:00+01:00,2.6,20,831.6,41.58,0.0,210.672,61.6
2000-02-02 11:00:00+01:00,4.1,20,2223.4717177728708,111.17358588864352,0.0,563.2795018357939,164.70160872391634
2000-02-02 12:00:00+01:00,5.5,20,2480.244948417779,124.01224742088894,0.0,628.3287202658373,183.7218480309466
2000-02-02 13:00:00+01:00,7.1,20,2389.8819178495814,119.49409589247905,0.0,605.4367525218939,177.0282902110801
2000-02-02 14:00:00+01:00,7.4,20,2006.4957873976591,100.32478936988295,0.0,508.3122661407403,148.6293175850118
2000-02-02 15:00:00+01:00,7.2,20,1292.95940381286,64.647970190643,0.0,327.5497156325912,95.77477065280445
2000-02-02 16:00:00+01:00,6.9,20,576.45,28.822499999999998,0.0,146.03400000000002,42.7
